collision_reward,right_lane_reward,high_speed_reward,on_road_reward,safe_distance_reward,left_vehicle_overtaken_reward,smooth_driving_reward
0.0,0.0,0.934156378600823,1.0,1,0,0
0.0,0.0,0.9913292350420836,1.0,1,0,1
0.0,0.0,0.9988581708697393,1.0,1,0,1
0.0,0.0,0.999849635670089,1.0,1,0,1
0.0,0.0,0.9999801989359789,1.0,1,0,1
1.0,0.0,0.0,1.0,-0.0,0,0
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,1,1
0.0,0.5,0.999849635670089,1.0,1,0,1
0.0,0.5,0.9999801989359789,1.0,1,0,1
0.0,0.5,0.9999973924524745,1.0,1,0,1
0.0,0.5,0.9999996566192557,1.0,1,0,1
0.0,0.5,0.9999999547811367,1.0,1,1,1
0.0,0.5,0.9999999940452525,1.0,1,0,1
1.0,1.0,0.0,1.0,1,0,0
0.0,0.0,0.934156378600823,1.0,1,0,0
0.0,0.0,0.9913292350420836,1.0,1,0,1
1.0,0.0,0.0,1.0,-0.0,0,0
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,0,1
0.0,0.5,0.999849635670089,1.0,1,0,1
0.0,0.5,0.9999801989359789,1.0,1,0,1
0.0,0.5,0.9999973924524745,1.0,1,0,1
1.0,0.5,0.9999996566192557,1.0,1,0,1
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,1,1
0.0,0.5,0.999849635670089,1.0,1,0,1
0.0,1.0,0.9982102775676225,1.0,1,0,1
1.0,1.0,0.0,1.0,1,1,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,1,1
1.0,1.0,0.0,1.0,1,0,0
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,0,1
0.0,0.5,0.999849635670089,1.0,1,0,1
0.0,1.0,0.9982102775676225,1.0,1,0,1
0.0,1.0,0.9999969722675928,1.0,1,1,1
0.0,1.0,0.9999996566164903,1.0,1,0,1
1.0,1.0,0.0,1.0,1,0,0
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,1,1
0.0,0.5,0.999849635670089,1.0,1,0,1
0.0,0.5,0.9999801989359789,1.0,1,0,1
0.0,0.5,0.9999973924524745,1.0,1,0,1
0.0,0.5,0.9999996566192557,1.0,1,1,1
0.0,0.5,0.9999999547811367,1.0,1,0,1
0.0,0.5,0.9999999940452525,1.0,1,0,1
0.0,1.0,0.998229994285093,1.0,1,0,1
0.0,1.0,0.9999995796554341,1.0,1,1,1
1.0,1.0,0.0,1.0,1,0,0
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,0,1
0.0,0.5,0.999849635670089,1.0,1,1,1
1.0,1.0,0.0,1.0,1,0,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,0,1
0.0,1.0,0.999849635670089,1.0,1,1,1
0.0,1.0,0.9999801989359789,1.0,1,0,1
1.0,1.0,0.0,1.0,-0.0,0,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,1,1
0.0,1.0,0.999849635670089,1.0,1,0,1
0.0,1.0,0.9999801989359789,1.0,1,0,1
1.0,1.0,0.0,1.0,-0.0,0,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,0,1
0.0,1.0,0.999849635670089,1.0,1,1,1
0.0,1.0,0.9999801989359789,1.0,1,0,1
0.0,1.0,0.9999973924524745,1.0,1,1,1
0.0,1.0,0.9999996566192557,1.0,1,0,1
1.0,1.0,0.0,1.0,-0.0,0,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,1,1
0.0,1.0,0.999849635670089,1.0,1,0,1
0.0,1.0,0.9999801989359789,1.0,1,0,1
1.0,1.0,0.0,1.0,1,1,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,1,1
0.0,1.0,0.999849635670089,1.0,1,0,1
0.0,1.0,0.9999801989359789,1.0,1,0,1
0.0,1.0,0.9999973924524745,1.0,1,0,1
0.0,1.0,0.9999996566192557,1.0,1,1,1
0.0,1.0,0.9999999547811367,1.0,1,0,1
0.0,1.0,0.9999999940452525,1.0,1,0,1
0.0,1.0,0.9999999992158358,1.0,1,0,1
0.0,1.0,0.9999999998967357,1.0,1,1,1
0.0,1.0,0.9999999999864013,1.0,1,0,1
0.0,1.0,0.9999999999982091,1.0,1,0,1
0.0,1.0,0.9999999999997641,1.0,1,0,1
0.0,1.0,0.9999999999999691,1.0,1,1,1
0.0,1.0,0.9999999999999961,1.0,1,0,1
0.0,1.0,0.9999999999999997,1.0,1,1,1
0.0,1.0,0.9999999999999997,1.0,1,0,1
1.0,1.0,0.39999999999999963,1.0,-0.4133621476517192,0,0
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,1,1
0.0,0.5,0.999849635670089,1.0,1,0,1
0.0,0.5,0.9999801989359789,1.0,1,0,1
0.0,0.5,0.9999973924524745,1.0,1,0,1
0.0,1.0,0.9982296531343241,1.0,1,1,1
0.0,1.0,0.9999995345408113,1.0,1,0,1
0.0,1.0,0.9999999940424885,1.0,1,1,1
0.0,1.0,0.9999999992157935,1.0,1,0,1
0.0,1.0,0.9999999998967357,1.0,1,0,1
0.0,1.0,0.9999999999864013,1.0,1,0,1
0.0,1.0,0.9999999999982091,1.0,1,1,1
1.0,1.0,0.39999999999971686,1.0,-0.0,0,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
1.0,1.0,0.9988581708697393,1.0,-0.0,0,1
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,0,1
0.0,1.0,0.999849635670089,1.0,1,1,1
1.0,1.0,0.9999801989359789,1.0,-1.1368683772161604e-14,0,1
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,0,1
0.0,0.5,0.999849635670089,1.0,1,0,1
0.0,0.5,0.9999801989359789,1.0,1,0,1
0.0,0.5,0.9999973924524745,1.0,1,1,1
0.0,0.5,0.9999996566192557,1.0,1,0,1
0.0,0.5,0.9999999547811367,1.0,1,0,1
1.0,0.5,0.0,1.0,-0.7528066258578974,0,0
0.0,0.0,0.934156378600823,1.0,1,0,0
1.0,0.0,0.0,1.0,1,0,0
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,1,1
0.0,0.5,0.999849635670089,1.0,1,0,1
0.0,0.5,0.9999801989359789,1.0,1,0,1
0.0,0.5,0.9999973924524745,1.0,1,0,1
0.0,0.5,0.9999996566192557,1.0,1,1,1
1.0,0.5,0.0,1.0,-0.0,0,0
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,0,1
0.0,0.5,0.999849635670089,1.0,1,0,1
0.0,0.5,0.9999801989359789,1.0,1,1,1
0.0,0.5,0.9999973924524745,1.0,1,0,1
0.0,0.5,0.9999996566192557,1.0,1,0,1
1.0,0.5,0.0,1.0,-0.0,0,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,0,1
1.0,1.0,0.0,1.0,1,0,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,1,1
0.0,1.0,0.999849635670089,1.0,1,0,1
0.0,1.0,0.9999801989359789,1.0,1,0,1
0.0,1.0,0.9999973924524745,1.0,1,1,1
0.0,1.0,0.9999996566192557,1.0,1,0,1
0.0,1.0,0.9999999547811367,1.0,1,0,1
1.0,1.0,0.9999999940452525,1.0,-0.0,0,1
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
1.0,1.0,0.0,1.0,1,0,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,1,1
0.0,1.0,0.999849635670089,1.0,1,0,1
0.0,1.0,0.9999801989359789,1.0,1,0,1
0.0,1.0,0.9999973924524745,1.0,1,1,1
0.0,1.0,0.9999996566192557,1.0,1,0,1
0.0,1.0,0.9999999547811367,1.0,1,0,1
1.0,1.0,0.0,1.0,1,0,0
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
1.0,0.5,0.9988581708697393,1.0,-0.0,0,1
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,1,1
0.0,0.5,0.999849635670089,1.0,1,0,1
0.0,0.5,0.9999801989359789,1.0,1,0,1
0.0,0.5,0.9999973924524745,1.0,1,1,1
0.0,0.5,0.9999996566192557,1.0,1,0,1
1.0,0.5,0.0,1.0,1,0,0
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,0,1
0.0,0.5,0.999849635670089,1.0,1,1,1
0.0,0.5,0.5658238203351555,1.0,1,0,0
0.0,0.5,0.942824536011214,1.0,1,0,0
0.0,0.5,0.9924707207916004,1.0,1,1,1
0.0,0.5,0.9990084899807868,1.0,1,0,1
1.0,0.5,0.0,1.0,1,0,0
0.0,0.0,0.934156378600823,1.0,1,0,0
0.0,0.0,0.9913292350420836,1.0,1,0,1
0.0,0.0,0.9988581708697393,1.0,1,0,1
0.0,0.0,0.999849635670089,1.0,1,0,1
1.0,0.0,0.0,1.0,1,0,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,0,1
0.0,1.0,0.999849635670089,1.0,1,1,1
0.0,1.0,0.9999801989359789,1.0,1,0,1
0.0,1.0,0.9999973924524745,1.0,1,1,1
1.0,1.0,0.39999958794310686,1.0,-0.5254599202013424,0,0
0.0,0.0,0.934156378600823,1.0,1,0,0
0.0,0.0,0.9913292350420836,1.0,1,0,1
0.0,0.0,0.9988581708697393,1.0,1,0,1
0.0,0.0,0.999849635670089,1.0,1,0,1
0.0,0.0,0.9999801989359789,1.0,1,0,1
0.0,0.0,0.9999973924524745,1.0,1,0,1
1.0,0.0,0.39999958794310686,1.0,-0.0,0,0
0.0,1.0,0.934156378600823,1.0,1,0,0
0.0,1.0,0.9913292350420836,1.0,1,0,1
0.0,1.0,0.9988581708697393,1.0,1,1,1
0.0,1.0,0.999849635670089,1.0,1,0,1
1.0,1.0,0.0,1.0,1,0,0
0.0,0.5,0.934156378600823,1.0,1,0,0
0.0,0.5,0.9913292350420836,1.0,1,0,1
0.0,0.5,0.9988581708697393,1.0,1,0,1
0.0,0.5,0.999849635670089,1.0,1,0,1
1.0,0.5,0.5658238203351555,1.0,-0.0,0,0
0.0,0.0,0.934156378600823,1.0,1,0,0
0.0,0.0,0.9913292350420836,1.0,1,0,1
0.0,0.0,0.9988581708697393,1.0,1,0,1
0.0,0.0,0.999849635670089,1.0,1,0,1
0.0,0.0,0.9999801989359789,1.0,1,0,1
0.0,0.0,0.9999973924524745,1.0,1,0,1
0.0,0.0,0.9999996566192557,1.0,1,0,1
1.0,0.0,0.0,1.0,1,0,0
0.0,0.0,0.934156378600823,1.0,1,0,0
1.0,0.0,0.38959508205050036,1.0,1,0,0
0.0,0.0,0.934156378600823,1.0,1,0,0
0.0,0.0,0.9913292350420836,1.0,1,0,1
0.0,0.0,0.9988581708697393,1.0,1,0,1
0.0,0.0,0.999849635670089,1.0,1,0,1
0.0,0.0,0.9999801989359789,1.0,1,0,1
0.0,0.0,0.9999973924524745,1.0,1,0,1
0.0,0.0,0.9999996566192557,1.0,1,0,1
0.0,0.0,0.9999999547811367,1.0,1,0,1
0.0,0.0,0.9999999940452525,1.0,1,0,1
0.0,0.0,0.9999999992158358,1.0,1,0,1
